species	genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Acutalibacter muris	Acutalibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria			35.892640872659946	53.55004673533937	12.49860666516816		80.12076602786539	25.68298592171202	35.05891033265266	18.456644654004847		18.202133504716183		13.882753948624416	68.31166725542906	44.9833428310945	32.0882878537654		23.284911607341265	30.502087903434507						14.770011470725716	70.39027380574674	47.927317264172544	106.752530460528			22.783266587596003	33.554592946969926		27.938211220538264		48.05997773826088		21.06396826218837	19.185143645049884	45.25480486700472			24.06142387783582	15.083123333464226	49.13962077801844	30.12197225941137		67.4210439088762	19.11963110829464		18.707360819866317	39.52645710383735	32.37448766205876	50.97026530399368				34.16010845948548		49.068501734244144		23.053863749354267		15.176377727934502	39.36556547314059	29.4514321377192	35.79003044733364	51.70706430696134	34.84391959749551		18.83087239037528			26.051753400907632				48.60507084858468	50.78026045609905			10.968360284188158	35.53792213388868			15.095803224303054		26.54859613852101			27.968987270875637	10.728289332188936		15.836876525227758	37.80311199280096
Adlercreutzia equolifaciens	Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria														16.084197131443485	13.755440150444873													12.080743305225562	15.12433685604272				16.035442790147076								12.122201202652606			24.15566575217297							19.06062664224345	17.205845346494577	26.060970278770107	15.224875099052378					16.064964827660123		20.946961239730435						14.206332661291029		17.080264949364704				32.02389122311168						15.05040822249986	12.256214723237193									14.705411365703414			20.003597696388773				
Aerococcus urinaeequi	Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																																					25.135866681307537																11.582824880835837																																											
Agathobacter ruminis	Agathobacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria																																				11.710953882695875																																																												
Agathobaculum butyriciproducens	Agathobaculum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		16.72834720069593			11.540727968429564				28.401581781620525							11.884445781541574											12.672247757171656						16.13160691325133											18.990955388265107	11.76108463569157	15.38053551477593					27.52208120601692							13.93686399083555								13.230516988316127													21.5527843477254	14.023918570602024				17.935799940510545					13.656457114040956							
Akkermansia glycaniphila	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria		355.55281641000835	127.84165651382612	12.76156494453742	61.20708002154364		91.53971388534018	22.106305553898466	400.4713031677035	66.6415456324117		65.24940330580334		54.28663613655919	140.54617146190262	13.150130781922185	15.291413824514809		43.43034228677353	20.19507186867176	30.132490262861985	24.91666696287973		28.18442600866613			31.12845179797745	39.15448851994199	585.717840732249	54.26478221296804	59.16714202811549	13.274324810947066	68.61914501546782	24.107661770543867	35.31582110606932		118.32909635744782	43.319817322802	45.18372215300638	123.99817676428172	974.6029820804532	4.0			110.00998595243011	68.41909606730582	30.51572498273894		127.11594552602249	77.33057510546838	196.8574729817772	37.13760531858873	834.7575520071706	406.6485552857221	1970.5341338088067		13.107687363873318	13.037069658369024	226.99145906614476	8.085106382599767	229.8839139361804		54.4937499999907	6.006666666666667	97.70373925831892	419.1777237818913	210.7361468703237	141.63250465448056	356.0227247085867	629.391959147532	75.58970257352496	30.12903095531369	308.7485884623237	77.28291953761915	44.19382900628665				586.3613005676233	14.092449609882964	40.98871108631541	123.90318816464487	45.050717020243866	59.1374018336277		12.231715210355988			76.8720474091875		1.005586592178771	102.02406394109538	21.350280882056182		127.7214074022807	467.2157706917455
Akkermansia muciniphila	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria		74.84871692559213	28.35275487862884				37.036055310820615		82.83362076171674	15.246107152740914					26.15060480957958			1.0625	11.817066772926712										105.1589770103982	14.074231424515991			14.655300046153643				23.437760715594973		14.27434920901732	26.409767708582216	139.68318430844806				19.016300278306307				39.712156946129554	15.652458186219755	30.626254812899028		147.67660848137834	68.3067053280105	271.04140542430963				46.317302347297606	4.042553191868318	48.65542170889805				16.214109277899016	57.30557756158907	38.37209031889581	49.47793545972507	53.00133360418305	108.612368929102	14.140415448938525		49.13187246791461	14.420000605423022					119.05588853664209		12.587654050432342	23.156706442522736	11.618703093785244						12.690684059707026			15.305663131655283			14.332428399418111	61.69784313174355
Alistipes dispar	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria																													21.800225609800204				12.96240963493499				10.080606189675718																						18.256575989933285											15.432148460018777									15.402407414200356										17.23851548531422			10.70013680441658				
Alistipes finegoldii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria				19.811842482336548	41.11352425578444		23.357032916247444		43.34705777053177						18.672580562698748	17.81795358483938											23.077526166474776	27.554433736959272	50.58419771115353				68.99671981758242		24.516124461315517		30.739976903529588				14.92768595055502			47.61185474317499					31.692505935757808		25.56630073985468		25.38283639900081	20.791781790778355					28.432182005034264		14.526375857920453		12.44093731560678			28.117705461440217		27.341019983496768	28.782468394948847	66.83506323562568		21.49580250645116							39.34471125354797	20.23316052992378	30.3544376299536			40.3846328663663					62.34582017873216			39.04335576240711			20.415665994624497	24.78443025095904
Alistipes megaguti	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria																											21.229271502971592						21.97291656084376																13.67834888620238																			17.291071145194095		21.584760388532167		13.658529801327424							11.878648892358315	12.049248250384329									13.811343784669502							
