genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria		0.0058218227398665	0.0035041596310058	0.0002785334034209	0.000995577026652		0.0032501458340788002	0.00043747141522	0.0067088412538786005	0.0053792059899593		0.0010843634737474		0.0011240632805996	0.0027895773929661	0.0002881588864231	0.0008977522353381	0.015625	0.0010138813576498	0.0006416837782369	0.0004888939589003	0.0093042072303509		0.0007361164335736			0.0004491321607603	0.0006979782968775	0.0095167339487388	0.0017047674716861	0.0008395598664488	0.0009362621534029	0.0010437486847189	0.0004763795156808	0.0011523794657074		0.0020994410608216	0.0014537827143701	0.0009688143023206	0.0027181831147732	0.0172618379971015	0.0045714285714285			0.0018994286126798	0.0013304637057327	0.00199893390428		0.002347278185417	0.0057980316325801	0.0028388624743506	0.0006088730911005	0.0102684521608418	0.0048514822481714	0.0635601423209548		0.0004641696718677	0.0001431260940888	0.0042810181606691	0.0255319148936169	0.003874521291488		0.0020833333333329	0.0066666666666666	0.0040702389787129	0.006721256296105	0.0037765988567366997	0.0050917976211388005	0.0054954192974978	0.014874621144344	0.0027666302229969	0.0006057791329281	0.0081032596157643	0.0067044100119199	0.0009091696806411				0.009330298116583	0.0002844603381014	0.0028801400460566	0.0103512278881654	0.0032029288483596	0.0007399759983186		0.0071197411003236			0.0017104201720469		0.0055865921787709	0.0014468717884963001	0.0021868565893737		0.0040376850605905	0.009506850252961
Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria				0.0004324124775156	0.0006687409400898		0.0009817237365987		0.0006017081867092						0.0003124752006074	0.0003904449125635											0.0008490184344505	0.0004911926437591	0.0012086474185243				0.0016001608368957998		0.0007999779567093		0.0006045165283476				0.0002312505569239			0.0012015412892605					0.0006383697722336		0.0003190523229153		0.0002653027060256	0.0002123799200275					0.0007313172832142		0.0002020639290293		0.0004756255425166			0.0003966273410461		0.0011891426512319	0.0003867052048226	0.0020931567486479003		0.0007068186486202							0.0010526195822523998	0.000651630140294	0.0016317835517661			0.0005053258698461					0.0017836197209616			0.0006134204677011			0.0005802872490087	0.0004454827042501
Alkaliphilus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria				0.0003617808266798			0.0004312150676868		0.0002846120547333																			0.0002322944724444	0.0002817679520131				0.000134823697702				0.0002225706446936							0.0006140285235842								0.0002355554905524	0.0002705555188131	0.0001762260429138							0.0001958083763694					0.0001792997807107			0.0001840938082057										0.0002607091242674	0.0003178320673202				0.0003093346052319					0.0003081667000131			0.0002210621368113				
Alkalitalea	Marinilabiliaceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria									0.0002565615615255						0.0002706847031643	0.000361242967535				0.0006281744903273									0.000423087680344				0.0005313026826687				0.0002817805152205				0.0002185743542962	0.0011428571428571		0.0003193953983438		0.0003475923963944							0.0001601282374754	0.0001450906495766							0.0002555907752868								0.0002282431011546															0.0002851844171774					0.0003383766754157			0.0001806461722973				
Allisonella	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria																															0.0004128525262303																																																																	
Alloprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria		0.0006126025199549	0.0002413133040887				0.0011036978221014		0.000306633258044							0.0006249427089809	0.0011783693065334												0.00045278094371359995				0.0007525877598577		0.0009281228486801		0.0005724848501481								0.0003342472594464	0.0002347887520141			0.0009774886716961	0.0012248347157577					0.0003273288273458								0.0004265063767906						0.0003982205342795	0.0012103381599024	0.0004230132005266								0.0009108272898197																	
Alterileibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria									0.0002239654706796																			0.0002259158586836	0.0001779046924047				0.0001467815901757																0.000157943072256			0.0004384246246481	0.0001519730198113	0.0001502879275925												0.000188579882303			0.0002066032631396											0.0003400509401775				0.0002675125610615					0.0002884388884534			0.000151454250115				
Aminicella	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria															0.0002024567713623																0.0002650410401812					0.0010722509190291					0.0002720743940587								0.0001410835215787		0.0001905367836574		0.0001876918777957	0.0005215996836678					0.000465148564911								0.0002326632530541						0.0003717417277169																							
Aminipila	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0009690189985523	0.0016116592675394	0.0033500460163743	0.0012054216826764001		0.0032967462509191	0.0021411526985337997	0.0034677531304203			0.0017187110446074		0.0031838282652006	0.0028229650092625003	0.0023810636700886	0.0038609013959671		0.0017071975510937	0.0036774485497477003	0.0002419403807817					0.00116318974653	0.0022885190407315	0.0021153285733825	0.0029919130950042	0.0011451912880716	0.0017087866716322	0.0040737239754536	0.0023238860404666	0.001965349368719	0.0045239762903409	0.0006883569279493001	0.0037719561181166	0.0011551597823716	0.0012100741024377	0.0017547587651954	0.0024160647974288997	0.0020010227550982		0.0037575013596437	0.0011358856691807	0.0035055033811612	0.0023680194001142		0.0009391773499464	0.007188836472512899	0.0038384838128601	0.0043185830139443	0.0022295190630226	0.0023221437228237	0.005560341108543599		0.0009023669002335	0.0007791837542899	0.0021978933031376003		0.0021508228944771		0.0027696103925661	0.0019277533342485	0.0017510552283966	0.0017845755136455998	0.0031905370626706996	0.0025667259385573	0.0031713692085826	0.001398311516999	0.0026318174777746	0.002778883263618	0.003797079150333	0.0013139663830305	0.0011178058083642002	0.0013593247109933001	0.0025992246390558		0.0038935727402965	0.0039155050934109	0.0028465744900398	0.003981594607077	0.0007877761390805	0.0048252014797375	0.005972282780740801		0.0036363974893269		0.004750485630666			0.0041525626389183005	0.0067315205141082	0.016666666666811	0.002293519289935	0.0013789316741392
Anabaena	Nostocaceae	Nostocales		Cyanobacteria	Bacteria											0.0036620605441987																																																																																					
