species	genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Acutalibacter muris	Acutalibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria			0.0008052371533328	0.0011687811671506	0.0002032987957703		0.0020252974223424	0.0005082519180264	0.0004866589440956	0.0012124183573543		0.0003024966929472		0.0002874573754762	0.0011431575757723	0.0009857202329592	0.0018838893825964		0.0004273166505907	0.0009691817457878						0.0007541876772225	0.0010156154239878	0.0008543650687946	0.0014705015491284			0.0016069450266325	0.0004205679452894		0.0009116429948619		0.0007117255240686		0.0003432178886493	0.0003467152861721	0.000701059686253			0.0004518916703195	0.0002220424757241	0.000955558984502	0.0019731411148572		0.0009486168293005	0.0011922199356671		0.0003067082142483	0.0004131325539988	0.0003306927308967	0.0014452679644992				0.0005350726552972		0.0006825497528758		0.0008813649787572		0.0005422458813753	0.0005552892494659	0.0004464976597947	0.0009535616776525	0.0006947072995695	0.0007022859941045		0.0003786165431553			0.0005359450595755				0.0006428816989429	0.0010250148454027			0.0006199265406764	0.0004446798234926			0.0007045882485088		0.0005070106017325			0.0003449043958821	0.0010988722044647		0.0004501414508904	0.0006794843532452
Adlercreutzia equolifaciens	Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria														0.0003330406280452	0.0002301896037358													0.0002153545342037	0.0002083356776687				0.0002009856962567								0.0001877897075637			0.0004536616037293							0.0002378653551919	0.0002820907851017	0.0002723905960676	0.0001555161452012					0.0002516363025541		0.0002913751737339						0.0002153747314517		0.000229480920991				0.000725096597376						0.0001990663080814	0.0002473953840906									0.0002808359216565			0.0002466778189758				
Aerococcus urinaeequi	Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																																					0.000372239828826																0.0001210642788694																																											
Agathobacter ruminis	Agathobacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria																																				0.0002394780148602																																																												
Agathobaculum butyriciproducens	Agathobaculum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		0.0002262758484586			0.0001877182122095				0.0003942473873073							0.0002604239242147											0.0001828396109709						0.0002021910021213											0.0003566644515694	0.0001731379033357	0.0002990867382552					0.0003434593072183							0.0001530043912571								0.0001866291963594													0.0002850708861546	0.0002830770184413				0.0002244275374823					0.0002608035657628							
Akkermansia glycaniphila	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria		0.004809382196567	0.0028680768276086	0.0002785334034209	0.000995577026652		0.0023139462559489	0.00043747141522	0.0055590130922779	0.0043776880793806		0.0010843634737474		0.0011240632805996	0.0023519616356561	0.0002881588864231	0.0008977522353381		0.0007970186321919	0.0006416837782369	0.0004888939589003	0.0093042072303509		0.0007361164335736			0.0004491321607603	0.0006979782968775	0.0080681833810712	0.0013536753115216	0.0008395598664488	0.0009362621534029	0.0008600614786857	0.0004763795156808	0.0011523794657074		0.0017523486709926	0.0014537827143701	0.0007362269789644	0.0022409039065363	0.0150979517610678	0.0045714285714285			0.0016194848437696	0.0013304637057327	0.00199893390428		0.0017885265223927	0.0048220100458607	0.0024566649151621	0.0006088730911005	0.0087249286857295	0.0041537559656965	0.0558747308761393		0.0004641696718677	0.0001431260940888	0.0035555192360224	0.0170212765949468	0.0031977175397994		0.0020833333333329	0.0066666666666666	0.003490915365811	0.0059129058819315	0.003194859793974	0.0037735460702443	0.0047833229169499	0.0126855176690019	0.002330641709787	0.0006057791329281	0.0069907978820858	0.0056501622706257	0.0009091696806411				0.0077555889235847	0.0002844603381014	0.0022034572135423	0.0087212774100545	0.0025462452393739	0.0007399759983186		0.0071197411003236			0.0014680604130624		0.0055865921787709	0.0012581273607889	0.0021868565893737		0.0036303054801398	0.0083978749113282
Akkermansia muciniphila	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria		0.0010124405432995	0.0006360828033972				0.0009361995781299		0.0011498281616007	0.0010015179105787					0.00043761575731			0.015625	0.0002168627254579										0.0014485505676676	0.0003510921601645			0.0001836872060332				0.000347092389829		0.0002325873233562	0.0004772792082369	0.0021638862360337				0.0002799437689102				0.0005587516630243	0.0009760215867194	0.0003821975591885		0.0015435234751123	0.0006977262824749	0.0076854114448155				0.0007254989246467	0.0085106382986701	0.0006768037516886				0.0005793236129019	0.0008083504141735	0.0005817390627627	0.0013182515508945	0.0007120963805479	0.0021891034753421	0.0004359885132099		0.0011124617336785	0.0010542477412942					0.0015747091929983		0.0006766828325143	0.0016299504781109	0.0006566836089857						0.0002423597589845			0.0001887444277074			0.0004073795804507	0.0011089753416328
Alistipes dispar	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria																													0.0003002951348531				0.0001624687861593				0.0001492848116233																						0.0002859649758769											0.0003110379615039									0.0002037220741247										0.0003292117618416			0.0001319505845757				
Alistipes finegoldii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria				0.0004324124775156	0.0006687409400898		0.0005904204478323		0.0006017081867092						0.0003124752006074	0.0003904449125635											0.000332970597427	0.0004911926437591	0.0006967904252459				0.0008647939413614		0.0007999779567093		0.0004552317167243				0.0002312505569239			0.0008941865068394					0.00044591484721		0.0003190523229153		0.0002653027060256	0.0002123799200275					0.0004453523073373		0.0002020639290293		0.0004756255425166			0.0003966273410461		0.0007284528277381	0.0003867052048226	0.0013470737324523		0.0004321980558639							0.0005203982706639	0.000408412436768	0.0016317835517661			0.0005053258698461					0.0011906464522417			0.0004814698831254			0.0005802872490087	0.0004454827042501
Alistipes megaguti	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria																											0.0003063033344342						0.0002754050506472																0.0001924549250236																			0.0004606898234938		0.0004350450546917		0.0002746205927563							0.0001571145941717	0.000243217703526									0.0002637615068783							
Alistipes onderdonkii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria																											0.0002097445025893						0.0001460718823866											0.0003073547824211																																			0.0001713846432921																	
Alistipes putredinis	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria							0.0003913032887664																						0.0002115618584253				0.0001514211763413																																																															
Alkaliphilus oremlandii	Alkaliphilus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria				0.0003617808266798			0.0004312150676868		0.0002846120547333																			0.0002322944724444	0.0002817679520131				0.000134823697702				0.0002225706446936							0.0006140285235842								0.0002355554905524	0.0002705555188131	0.0001762260429138							0.0001958083763694					0.0001792997807107			0.0001840938082057										0.0002607091242674	0.0003178320673202				0.0003093346052319					0.0003081667000131			0.0002210621368113				
Alkalitalea saponilacus	Alkalitalea	Marinilabiliaceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria									0.0002565615615255						0.0002706847031643	0.000361242967535				0.0006281744903273									0.000423087680344				0.0005313026826687				0.0002817805152205				0.0002185743542962	0.0011428571428571		0.0003193953983438		0.0003475923963944							0.0001601282374754	0.0001450906495766							0.0002555907752868								0.0002282431011546															0.0002851844171774					0.0003383766754157			0.0001806461722973				
Allisonella histaminiformans	Allisonella	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria																															0.0004128525262303																																																																	
