genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria				19.811842482336548	41.11352425578444		38.83699101984914		43.34705777053177						18.672580562698748	17.81795358483938											58.84376965490558	27.554433736959272	87.74296799520032				127.66723221091829		24.516124461315517		40.82058309320531				14.92768595055502			63.97726748796978					45.37085482196019		25.56630073985468		25.38283639900081	20.791781790778355					46.688757994967546		14.526375857920453		12.44093731560678			28.117705461440217		44.63209112869086	28.782468394948847	103.85197208417662		35.15433230777858							79.58330351620648	32.28240878030811	30.3544376299536			40.3846328663663					93.39567944871588			49.74349256682369			20.415665994624497	24.78443025095904
Alkaliphilus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria				16.575712135988642			17.05886807768995		20.503452422993664																			13.031023020717123	20.45522624434451				10.756773897459205				15.029305353580758							32.69456276676487								14.367471590754688	25.88539926244961	17.252353375226576							14.076664177200565					12.710920054144186			13.702102144757555										19.710913340237852	15.745718447111456				24.721402980929295					16.136532912788915			17.926370798309197				
Alkalitalea	Marinilabiliaceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria									18.48269489229752						16.175305806994285	16.48532282346259				19.769907559583263									30.714473242256886				42.38945323404655				19.027511070785884				14.109411718532243	1.0		17.006527380218724		17.874938984587093							15.320269120464816	14.204229502909069							18.374420835368696								16.98813401894147															22.791368251986214					17.7184178547947			14.648959403936631				
Allisonella	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria																															29.095368933559214																																																																	
Alloprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria		45.289091697756206	10.75629921645166				43.66228584233358		22.089859909491484							28.519260524347537	20.0711643981848												32.87008538984213				60.04446183249296		28.44325282065282		38.65761199110663								22.705082086944827	12.074011572326713			69.4730523634584	19.642674336606262					11.543905754004795								11.15612729771201						29.63955436643038	60.05092780356125	13.719587132681898								68.8630972468202																	
Alterileibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria									16.134472507760282																			12.673201924575825	12.915169049811938				11.710822390585964																11.225487974457526			26.74127155578952	14.540018670454652	14.713037823387424												13.368805016224613			15.377480875486048											16.846463627337855				21.379068854919275					15.103525516086355			12.281728050333228				
Aminicella	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria															12.098209286298074																18.67850226573056					52.43521444236536					17.562946285278116								10.027229129168967		15.268093548041575		17.957420408110668	51.06408743140341					29.69601468105408								15.346700834703348						16.417973404619982																							
Aminipila	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria		71.63860554397661	71.8381001913036	153.48905833222838	74.10811962926593		130.41928168636383	108.19672816231372	249.8169355154851			103.41999968717056		153.7629860678656	168.69192005850743	108.65984058449922	65.76273347750869		93.02690175665244	115.73666075766404	14.911753429104053					22.779907996043853	158.61267767502198	118.6635869810462	217.2009230449341	45.907283164928245	120.42503189661173	57.75725852398259	185.40892385259647	99.45847015340236	138.64177739379073	33.662030490582765	254.7051088319478	34.42145119510994	74.264667814816	97.09782151332931	155.96181480363379	1.7508949107109455		200.07191739559426	77.15957762178459	180.27051137621916	36.150184162144825		66.7501517927438	115.28737050969183	307.5853848921091	263.4076523525266	213.30923635469847	227.3355483207234	196.09654987500974		25.48193889569512	70.97428981076435	140.31790425891407		154.62265788396257		72.44469903835244	1.736905754157973	49.00853373236605	126.5121273133697	210.45101519083	96.3369246518741	236.0450101948059	69.37722591590945	85.35773625666536	138.21053799931093	167.69800067445817	17.972432187091997	54.33542253878192	26.279824637634796	26.44191225311488		294.3735670301213	193.97803783267412	52.951978663722656	56.56651458274526	13.93812322875229	385.62045185766794	4.007401745877187		77.90981620882941		248.74967907856805			336.73960951517586	65.71983477923952	1.1166666666763414	80.69059565849619	76.71686369073832
Anabaena	Nostocaceae	Nostocales		Cyanobacteria	Bacteria											1.8896232408065416																																																																																					
Anaerobutyricum	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		463.2059964967861	203.95900084579097	1304.1882922917323	357.1024435540344		479.0037927229971	488.49415737963216	722.1815958581881	92.76956014740269		517.3518819377017	28.77493436202932	409.0003943958175	954.051625461968	422.34331655257967	272.3841674757058		819.2325820161743	503.987514444789	332.61536303895946	70.21362601075577	21.611419909205768	131.23046575792446	22.422850437224472	228.09605429510623	1217.3204584936875	1326.0617015427808	849.9855325278594	472.9120770884803	583.494498004958	181.2286427285564	468.2206185084804	540.4518154021341	218.853808805338	161.6527250840131	516.8744344822736	156.57078155236897	416.5753804567575	341.3740228456987	453.0314180606613	13.849466393906589		1008.2350785060268	543.6868885048966	959.5911207130888	266.290568164544	2.1000000000855983	597.518245173219	121.13862077469936	1272.436688464348	1141.8442186465918	1323.8138431999928	1353.5583381088447	319.34970853558843		259.76230128866507	824.2022598307277	761.3496426572651	2.0212758214278197	1482.807890840785	70.67725130239772	251.5589008465186	7.007777777777777	286.2526536771412	485.0971552976702	1856.3368510435453	683.8095697684496	632.3283044914244	414.3869459331247	191.51870770414345	1339.969973859835	1750.1666395826933	90.70568311782344	336.4196101747753	114.01503275988009	117.19666165226188		736.2669451476374	1068.618191599366	318.8666370095045	259.5419283073384	47.24558687507402	1928.9757384348875	12.29992569030431		207.12687146799456		488.59908697925033		7.039106098162733	2177.887112446034	177.82797581526083		362.8171922156565	169.4305207563757
